94273	89
49751	43
28099	40
68649	18
82281	65
63641	0
45720	37
899	88
87945	37
1667	48
24396	69
55880	73
75642	31
39270	11
97458	81
91265	74
79447	71
63966	71
42822	40
68723	31
22504	59
9176	73
17695	58
88241	57
86362	97
68757	16
42853	3
83057	96
80203	82
93560	76
23542	4
99157	49
95108	6
60863	80
19306	40
88870	34
41591	45
65391	70
21395	20
35056	74
87868	42
55130	36
11947	77
98866	21
84653	13
8990	81
5946	80
9866	6
60859	71
84973	56
22059	4
39336	89
9694	40
40308	98
37912	41
91268	79
90717	73
73651	51
57088	2
21245	71
34820	57
23228	72
76174	35
79489	55
487	3
90061	85
6551	19
37866	95
64504	76
82869	56
49972	76
58140	55
66734	66
47895	88
86617	86
81385	4
80800	81
99483	96
11473	64
40852	94
50307	36
52984	60
95100	98
49527	37
56562	63
4926	13
8918	18
67955	94
48560	57
12830	27
50318	59
56048	16
42372	55
52999	41
47126	26
51702	94
29325	3
91212	65
93986	67
85424	88
24967	60
47106	75
42556	26
24166	66
73459	22
98135	3
72424	61
18346	32
14597	69
13744	1
50756	51
32535	97
18856	47
19970	9
99674	65
22882	99
46267	5
4800	100
41692	94
88125	63
28713	79
99050	74
96149	6
20800	38
52570	48
26369	53
27949	55
11499	21
77703	57
67157	53
25235	23
71701	27
84193	56
27706	72
26801	69
1506	77
30844	66
40750	31
55190	36
8176	98
4905	57
57647	18
22433	71
11827	37
48945	22
88328	87
97108	48
92286	41
71217	100
96873	99
42233	38
40682	28
57844	25
79848	16
61609	28
14673	60
58777	67
49295	2
75936	15
38845	3
47740	3
36498	91
53283	21
52905	52
93238	6
4108	50
58362	27
92329	3
95109	29
82985	12
72155	95
37897	65
76862	18
56110	83
92056	75
61009	35
13821	57
67165	98
11854	23
13766	69
96111	47
56444	70
56129	95
60844	80
15936	81
62694	76
40972	57
37718	19
44069	63
84224	99
1941	8
73001	58
56872	98
40563	82
56758	30
21340	47
31436	100
78146	39
30644	67
62692	5
59016	88
98254	63
25430	65
93821	58
36571	10
35877	80
8572	90
1340	86
15105	38
90802	2
2966	32
6292	64
16812	51
98834	86
22072	3
13544	35
97787	94
46709	30
61359	86
73429	23
67171	47
79977	25
41047	32
47782	9
83880	86
71670	54
20909	51
26144	23
62185	0
58514	20
40049	15
29233	52
87893	87
93112	46
95484	76
33588	18
1825	62
78539	71
43759	62
27562	73
13413	38
17172	57
57874	70
14886	89
75570	57
66817	83
47317	40
55291	26
90537	33
52632	53
79214	1
43285	74
48500	3
38959	75
11943	81
91904	31
53219	93
24950	41
21320	18
54873	6
20171	55
83887	97
24439	86
50651	58
68863	77
8897	57
42849	2
97061	93
15800	88
8906	92
40041	100
302	78
43517	80
19707	0
83916	42
80331	72
54018	46
83264	64
77306	78
1647	32
63861	16
92097	30
70154	2
70428	99
19666	14
63908	5
58084	88
3903	6
85240	94
39068	50
5969	21
67542	58
77217	4
62191	63
789	45
44309	59
62560	26
55918	5
92813	76
63639	15
34958	24
20357	59
69281	40
21192	74
12309	19
58923	92
58825	15
9184	99
34217	51
95589	60
60892	62
51545	73
3680	11
28214	70
86721	97
54681	93
85487	34
25919	26
291	28
37425	18
16693	21
10562	26
82233	25
19976	37
23659	84
41564	97
87127	15
51944	9
26619	63
57145	87
12181	94
29757	81
32222	24
10910	47
84864	12
52844	99
51556	56
94606	60
88535	57
7913	72
25881	17
57499	51
53494	73
96644	1
91544	53
60350	25
73310	33
6879	54
42485	100
64759	14
61963	18
23349	39
45467	24
42409	12
44380	100
81305	21
29412	20
56545	51
90020	86
28110	83
59411	2
8854	10
50734	8
25634	48
73130	91
94161	53
51566	86
4714	82
3133	77
22638	59
95553	15
98703	29
88426	77
36842	96
13740	17
15147	6
47170	99
83632	70
87297	39
74357	61
75088	20
38766	68
64699	49
82148	30
55250	36
81671	62
35735	25
25588	32
19240	22
52726	53
14938	86
17778	48
22368	75
88667	45
48368	13
41183	86
63502	77
12391	98
52034	82
61677	32
75655	71
13461	45
65474	23
62908	73
68975	96
28779	1
