716,716
635,635
321,321
916,916
344,344
249,249
57,57
968,968
133,133
297,297
748,748
381,381
290,290
927,927
951,951
132,132
515,515
805,805
948,948
661,661
493,493
196,196
529,529
848,848
163,163
437,437
478,478
198,198
633,633
971,971
109,109
530,530
694,694
327,327
186,186
306,306
838,838
606,606
906,906
44,44
101,101
547,547
527,527
335,335
184,184
357,357
249,249
23,23
174,174
132,132
409,409
868,868
724,724
318,318
791,791
232,232
341,341
960,960
379,379
475,475
568,568
571,571
376,376
397,397
131,131
365,365
717,717
599,599
806,806
809,809
181,181
582,582
802,802
924,924
278,278
517,517
921,921
101,101
990,990
526,526
23,23
664,664
938,938
852,852
645,645
246,246
377,377
304,304
558,558
429,429
900,900
646,646
363,363
296,296
265,265
28,28
345,345
507,507
645,645
703,703
